Month,Total nonfarm,Manufacturing,Ratio
Jun-99,"129,099","17,295",13.39669556
Jul-99,"129,420","17,308",13.37351259
Aug-99,"129,576","17,287",13.34120516
Sep-99,"129,781","17,281",13.31550843
Oct-99,"130,190","17,272",13.26676396
Nov-99,"130,479","17,282",13.24504326
Dec-99,"130,786","17,280",13.21242335
Jan-00,"131,020","17,284",13.1918791
Feb-00,"131,136","17,285",13.18097243
Mar-00,"131,609","17,302",13.14651734
Apr-00,"131,900","17,298",13.11448067
May-00,"132,118","17,279",13.07846016
Jun-00,"132,079","17,296",13.09519303
Jul-00,"132,247","17,322",13.09821773
Aug-00,"132,240","17,287",13.07244404
Sep-00,"132,364","17,230",13.01713457
Oct-00,"132,365","17,217",13.0072149
Nov-00,"132,570","17,202",12.97578638
Dec-00,"132,722","17,181",12.9451033
Jan-01,"132,712","17,104",12.88805835
Feb-01,"132,804","17,028",12.82190295
Mar-01,"132,761","16,938",12.75826485
Apr-01,"132,475","16,802",12.68314776
May-01,"132,426","16,661",12.5813662
Jun-01,"132,312","16,515",12.48186106
Jul-01,"132,187","16,382",12.39304924
Aug-01,"132,043","16,232",12.29296517
Sep-01,"131,791","16,117",12.2292114
Oct-01,"131,468","15,972",12.14896401
Nov-01,"131,158","15,825",12.06560027
Dec-01,"130,997","15,711",11.99340443
Jan-02,"130,868","15,587",11.91047468
Feb-02,"130,752","15,515",11.86597528
Mar-02,"130,732","15,443",11.81271609
Apr-02,"130,636","15,392",11.78235708
May-02,"130,647","15,337",11.73926688
Jun-02,"130,695","15,298",11.70511496
Jul-02,"130,604","15,256",11.68111237
Aug-02,"130,603","15,171",11.61611908
Sep-02,"130,524","15,119",11.58331035
Oct-02,"130,643","15,060",11.52759811
Nov-02,"130,632","14,992",11.47651418
Dec-02,"130,488","14,912",11.42787076
Jan-03,"130,596","14,866",11.38319704
Feb-03,"130,461","14,781",11.32982271
Mar-03,"130,246","14,721",11.30245842
Apr-03,"130,194","14,609",11.2209472
May-03,"130,210","14,557",11.1796329
Jun-03,"130,209","14,493",11.13056701
Jul-03,"130,207","14,402",11.06084926
Aug-03,"130,167","14,376",11.04427389
Sep-03,"130,279","14,347",11.01251929
Oct-03,"130,473","14,334",10.98618105
Nov-03,"130,490","14,316",10.97095563
Dec-03,"130,605","14,300",10.94904483
Jan-04,"130,787","14,290",10.92616239
Feb-04,"130,844","14,279",10.91299563
Mar-04,"131,156","14,287",10.89313489
Apr-04,"131,426","14,315",10.89206093
May-04,"131,710","14,342",10.88907448
Jun-04,"131,807","14,332",10.87347409
Jul-04,"131,864","14,330",10.86725717
Aug-04,"131,955","14,345",10.87113031
Sep-04,"132,112","14,331",10.84761415
Oct-04,"132,466","14,332",10.81938007
Nov-04,"132,521","14,307",10.79602478
Dec-04,"132,644","14,287",10.77093574
Jan-05,"132,791","14,257",10.73642039
Feb-05,"133,050","14,273",10.72754604
Mar-05,"133,172","14,269",10.7147148
Apr-05,"133,536","14,250",10.67127965
May-05,"133,706","14,256",10.66219915
Jun-05,"133,957","14,227",10.62057227
Jul-05,"134,314","14,226",10.59159879
Aug-05,"134,517","14,203",10.55851677
Sep-05,"134,583","14,175",10.53253383
Oct-05,"134,673","14,192",10.53811826
Nov-05,"135,012","14,187",10.50795485
Dec-05,"135,168","14,193",10.50026634
Jan-06,"135,446","14,210",10.49126589
Feb-06,"135,753","14,209",10.46680368
Mar-06,"136,063","14,214",10.44663134
Apr-06,"136,221","14,226",10.44332372
May-06,"136,261","14,203",10.42337866
Jun-06,"136,342","14,213",10.42452069
Jul-06,"136,538","14,188",10.39124639
Aug-06,"136,713","14,159",10.35673272
Sep-06,"136,860","14,125",10.32076575
Oct-06,"136,870","14,075",10.28348068
Nov-06,"137,082","14,041",10.2427744
Dec-06,"137,268","14,015",10.20995425
Jan-07,"137,493","14,008",10.18815503
Feb-07,"137,573","13,997",10.17423477
Mar-07,"137,810","13,970",10.13714535
Apr-07,"137,860","13,945",10.1153344
May-07,"138,012","13,929",10.09260064
Jun-07,"138,088","13,911",10.07401078
Jul-07,"138,055","13,889",10.06048314
Aug-07,"138,032","13,828",10.01796685
Sep-07,"138,114","13,790",9.984505553
Oct-07,"138,190","13,764",9.960199725
Nov-07,"138,299","13,757",9.947288122
Dec-07,"138,409","13,746",9.931435095
Jan-08,"138,422","13,725",9.915331378
Feb-08,"138,340","13,696",9.900245771
Mar-08,"138,292","13,659",9.876927082
Apr-08,"138,056","13,599",9.850350582
May-08,"137,872","13,564",9.838110711
Jun-08,"137,706","13,504",9.80639914
Jul-08,"137,508","13,430",9.766704483
Aug-08,"137,229","13,358",9.734094105
Sep-08,"136,769","13,275",9.706146861
Oct-08,"136,288","13,147",9.646483916
Nov-08,"135,561","13,034",9.614859731
Dec-08,"134,857","12,850",9.528611789
Jan-09,"134,074","12,561",9.368706834
Feb-09,"133,332","12,380",9.285092851
Mar-09,"132,529","12,208",9.211568789
Apr-09,"131,835","12,030",9.125042667
May-09,"131,491","11,862",9.021149736
Jun-09,"131,026","11,726",8.949368828
Jul-09,"130,685","11,668",8.928339136
Aug-09,"130,501","11,626",8.908743994
Sep-09,"130,259","11,591",8.898425445
Oct-09,"130,061","11,538",8.871221965
Nov-09,"130,073","11,509",8.84810837
Dec-09,"129,804","11,475",8.840251456
Jan-10,"129,807","11,460",8.82849153
Feb-10,"129,715","11,453",8.829356667
Mar-10,"129,895","11,453",8.817121521
Apr-10,"130,132","11,489",8.828727753
May-10,"130,666","11,525",8.820198062
Jun-10,"130,530","11,545",8.844710028
Jul-10,"130,442","11,561",8.862942917
Aug-10,"130,437","11,553",8.857149428
Sep-10,"130,373","11,563",8.869167696
Oct-10,"130,642","11,562",8.850140077
Nov-10,"130,765","11,585",8.859404275
Dec-10,"130,839","11,595",8.862036549
Jan-11,"130,859","11,621",8.880550822
Feb-11,"131,072","11,654",8.891296387
Mar-11,"131,304","11,675",8.891579845
Apr-11,"131,625","11,704",8.891927825
May-11,"131,720","11,713",8.892347404
Jun-11,"131,955","11,727",8.887120609
Jul-11,"132,016","11,746",8.897406375
Aug-11,"132,138","11,764",8.902813725
Sep-11,"132,374","11,769",8.890718721
Oct-11,"132,578","11,780",8.885335425
Nov-11,"132,710","11,770",8.868962399
Dec-11,"132,914","11,802",8.879425794
Jan-12,"133,269","11,838",8.882785944
Feb-12,"133,531","11,860",8.881832683
Mar-12,"133,769","11,898",8.894437426
Apr-12,"133,852","11,916",8.902369782
May-12,"133,951","11,927",8.90400221
Jun-12,"134,023","11,936",8.905934056
Jul-12,"134,176","11,964",8.916646792
Aug-12,"134,346","11,960",8.902386375
Sep-12,"134,535","11,954",8.885420151
Oct-12,"134,693","11,961",8.880194219
Nov-12,"134,851","11,950",8.861632468
Dec-12,"135,088","11,960",8.853488097
Jan-13,"135,283","11,983",8.857727874
Feb-13,"135,562","11,996",8.849087502
Mar-13,"135,698","11,999",8.842429513
Apr-13,"135,890","12,000",8.830671867
May-13,"136,114","12,000",8.816139413
Jun-13,"136,295","12,004",8.807366374
Jul-13,"136,400","11,984",8.785923754
Aug-13,"136,642","12,014",8.792318614
Sep-13,"136,831","12,032",8.793328997
Oct-13,"137,056","12,056",8.796404389
Nov-13,"137,323","12,079",8.796050188
Dec-13,"137,390","12,083",8.794672101
Jan-14,"137,567","12,081",8.781902637
Feb-14,"137,735","12,106",8.789341852
Mar-14,"137,985","12,120",8.783563431
Apr-14,"138,312","12,134",8.772919197
May-14,"138,533","12,146",8.767586063
Jun-14,"138,857","12,170",8.764412309
Jul-14,"139,084","12,189",8.763768658
Aug-14,"139,272","12,208",8.765581021
Sep-14,"139,583","12,226",8.75894629
Oct-14,"139,841","12,259",8.76638468
Nov-14,"140,127","12,284",8.766333398
Dec-14,"140,396","12,292",8.755235192
Jan-15,"140,609","12,295",8.744105996
Feb-15,"140,857","12,303",8.734390197
Mar-15,"140,934","12,311",8.735294535
Apr-15,"141,234","12,317",8.720987864
May-15,"141,553","12,334",8.713344118
Jun-15,"141,723","12,338",8.705714669
Jul-15,"142,016","12,357",8.701132267
Aug-15,"142,138","12,343",8.683814321
Sep-15,"142,271","12,350",8.68061657
Oct-15,"142,610","12,361",8.667695113
Nov-15,"142,845","12,357",8.650635304
Dec-15,"143,125","12,362",8.63720524
Jan-16,"143,215","12,384",8.647138917
Feb-16,"143,447","12,369",8.622696885
Mar-16,"143,681","12,344",8.591254237
Apr-16,"143,892","12,351",8.583520974
May-16,"143,907","12,333",8.570118201
Jun-16,"144,189","12,353",8.567227736
Jul-16,"144,525","12,370",8.559072825
Aug-16,"144,660","12,347",8.535185953
Sep-16,"144,930","12,344",8.517215207
Oct-16,"145,058","12,341",8.50763143
Nov-16,"145,228","12,341",8.497672625
Dec-16,"145,443","12,355",8.49473677
Jan-17,"145,695","12,368",8.488966677
Feb-17,"145,836","12,386",8.49310184
Mar-17,"145,963","12,395",8.491878079
Apr-17,"146,176","12,403",8.484977014
May-17,"146,304","12,405",8.478920604
Jun-17,"146,533","12,420",8.475906451
Jul-17,"146,737","12,417",8.462078412
Aug-17,"146,924","12,459",8.479894367
Sep-17,"146,942","12,467",8.484299928
Oct-17,"147,202","12,487",8.482901048
Nov-17,"147,422","12,517",8.490591635
Dec-17,"147,596","12,545",8.499552833
Jan-18,"147,767","12,561",8.500544777
Feb-18,"148,097","12,592",8.5025355
Mar-18,"148,279","12,612",8.50558744
Apr-18,"148,475","12,634",8.509176629
May-18,"148,745","12,655",8.507849003
Jun-18,"149,007","12,687",8.514365097
Jul-18,"149,185","12,707",8.51761236
Aug-18,"149,467","12,715",8.506894498
Sep-18,"149,575","12,733",8.512786228
Oct-18,"149,852","12,762",8.516402851
Nov-18,"150,048","12,789",8.523272553
Dec-18,"150,275","12,809",8.523706538
Jan-19,"150,587","12,826",8.517335494
Feb-19,"150,643","12,834",8.51947983
Mar-19,"150,796","12,831",8.508846388
Apr-19,"151,012","12,834",8.498662358
May-19,"151,084","12,837",8.496597919
Jun-19,"151,308","12,854",8.495254712